path,class,mesh_is_watertight,diameter,mesh_nr_vertices,mesh_nr_faces,mesh_surface_area,mesh_volume,ch_nr_vertices,ch_nr_faces,ch_surface_area,ch_volume,bb_p0,bb_p1,bb_surface_area,bb_volume,bb_diameter,distance_to_center,scale,alignment,correctly_oriented_axes,eigenvalue_s1,eigenvalue_s2,eigenvalue_s3
['data' 'LabeledDB_new' 'Airplane' '71' 'original.ply'],Airplane,True,1.9784586904303358,5849,11694,2.17761852,0.086990897,285,566,4.235680546,0.378202841,[-0.83764899 -0.98194498 -0.123477  ],[0.77286297 0.99644798 0.31294799],9.505026591,1.390548426,2.588098575,0.000286563,1.978392959,0.997571639,3,0.15616771863195256,0.14185728762701696,0.005670870161949532
['data' 'LabeledDB_new' 'Airplane' '72' 'original.ply'],Airplane,True,1.979170581343597,5228,10452,1.921655269,0.066203933,275,546,3.953944222,0.320250675,[-0.80012    -0.98422498 -0.0927    ],[0.64798301 0.99471498 0.285447  ],8.32326982,1.083659219,2.481169242,0.000364753,1.97893995,0.333428163,3,0.16084325064670404,0.12678542110168256,0.003823911339581036
['data' 'LabeledDB_new' 'Airplane' '73' 'original.ply'],Airplane,True,1.9572330147933796,5109,10214,1.848657782,0.065089943,273,542,3.937065003,0.324823454,[-0.89365298 -0.97231901 -0.121931  ],[0.68551803 0.98491299 0.27336699],8.977474022,1.221788613,2.545741277,0.000343005,1.957231998,0.347413051,2,0.15529827909429442,0.1325533270143752,0.0038741722017625324
['data' 'LabeledDB_new' 'Airplane' '74' 'original.ply'],Airplane,True,1.9581493094847715,5044,10084,1.849685567,0.073266947,312,620,3.336381647,0.267327753,[-0.76172298 -0.97458398 -0.128179  ],[0.60097301 0.98356402 0.26549599],7.951387287,1.050466753,2.41790487,0.000346169,1.958148003,0.337078204,2,0.15682250579105192,0.09281194184064165,0.0039152101582138055
['data' 'LabeledDB_new' 'Airplane' '75' 'original.ply'],Airplane,True,1.7583431275511767,8679,17354,2.595345323,0.098925077,413,822,4.085957824,0.32166035,[-0.99911302 -0.831949   -0.126864  ],[0.74962902 0.84124899 0.156793  ],7.793297809,0.829978016,2.436832273,0.000207892,1.748742044,0.999256127,1,0.15120271412299507,0.138550899975201,0.0043683604142899235
['data' 'LabeledDB_new' 'Airplane' '76' 'original.ply'],Airplane,True,1.8508279072180494,5923,11842,1.994027349,0.090383753,396,788,3.716249134,0.332981542,[-0.997913   -0.73194402 -0.12601601],[0.83532602 0.74372    0.328565  ],8.418818672,1.229752933,2.396871605,0.000156551,1.833239019,0.998478696,3,0.22792690974285404,0.061441432104003026,0.006061834141939056
['data' 'LabeledDB_new' 'Airplane' '77' 'original.ply'],Airplane,True,1.8118491175732647,6587,13170,2.053608759,0.078411069,353,702,4.065521303,0.353666325,[-0.87261099 -0.112446   -0.99926299],[0.87496799 0.33892301 0.78739101],9.435124406,1.40931802,2.53966509,0.000230239,1.786653996,0.028614665,2,0.18514678440397153,0.10713502538704164,0.005149873488956516
['data' 'LabeledDB_new' 'Airplane' '78' 'original.ply'],Airplane,True,1.9030209369033761,7470,14936,2.406254075,0.08663961,305,606,5.168153669,0.498927073,[-0.99779302 -0.903584   -0.121189  ],[0.82673198 0.904432   0.482449  ],10.98302031,1.991263141,2.638596627,0.00019593,1.824524999,0.996230564,3,0.25094344594869433,0.13064819103646033,0.006580500527153286
['data' 'LabeledDB_new' 'Airplane' '79' 'original.ply'],Airplane,True,1.9522222269983411,6689,13374,2.407611887,0.084621168,332,660,4.654040389,0.472722471,[-0.89762503 -0.96610802 -0.103375  ],[0.679039   0.98601103 0.46487799],10.1661549,1.748989466,2.572848563,0.000263084,1.952119052,0.652889587,3,0.16049120955769078,0.1555830932358372,0.00719711487013297
['data' 'LabeledDB_new' 'Airplane' '80' 'original.ply'],Airplane,True,1.922655954913752,7351,14698,2.554367552,0.09206845,312,620,4.691548807,0.470561059,[-0.91575402 -0.97575402 -0.113978  ],[0.63262099 0.94688803 0.42378199],9.687090014,1.600895844,2.526500236,0.000243691,1.922642052,0.946754378,2,0.16408178460948583,0.15593278098094496,0.0067035806001201625
['data' 'LabeledDB_new' 'Ant' '100' 'original.ply'],Ant,True,1.7251555833690873,8064,16124,2.366413221,0.090864095,450,896,4.017065947,0.567895327,[-0.377489   -0.81231898 -0.52976799],[0.37869999 0.86901301 0.54171801],7.766348671,1.362292373,2.132318291,0.000224458,1.681331992,0.098812921,2,0.18263507535366036,0.04707893694275624,0.03158756306741254
['data' 'LabeledDB_new' 'Ant' '81' 'original.ply'],Ant,True,1.8382229168878677,6370,12736,2.175360147,0.094186267,380,756,3.865547062,0.543402168,[-0.48686001 -0.97787702 -0.48428801],[0.41716501 0.84536099 0.241441  ],7.255013327,1.196184848,2.16058804,0.000285776,1.823238015,0.337310879,0,0.20922066507678339,0.031915324982846334,0.024131898419257964
['data' 'LabeledDB_new' 'Ant' '82' 'original.ply'],Ant,True,1.8488917528134188,8299,16594,2.778507015,0.138057357,603,1202,4.990796889,0.835414827,[-0.48761299 -0.86030197 -0.579611  ],[0.61847299 0.92207801 0.39406401],9.567785326,1.919566718,2.312649487,0.000178735,1.782379985,0.344342088,2,0.2300221664774737,0.05334809726570772,0.03254073277645353
['data' 'LabeledDB_new' 'Ant' '83' 'original.ply'],Ant,True,1.9099718046336671,6376,12748,2.32874671,0.10775379,548,1092,4.068412579,0.529712577,[-0.61159301 -0.94282401 -0.314417  ],[0.48783299 0.92787403 0.29950199],7.760219216,1.26264354,2.255026651,0.000213826,1.870698035,0.343145851,1,0.22848197175764084,0.05189502960426554,0.01678242410110401
['data' 'LabeledDB_new' 'Ant' '84' 'original.ply'],Ant,True,1.7944004601948054,6850,13696,2.215585276,0.090063432,439,874,4.389672745,0.645020215,[-0.43863001 -0.82299101 -0.45998499],[0.42824    0.92733902 0.487656  ],7.994949305,1.437863837,2.170977263,0.000242775,1.750330031,0.319600532,2,0.22222796141144313,0.03712316646662278,0.03519384475844236
['data' 'LabeledDB_new' 'Ant' '85' 'original.ply'],Ant,True,1.8963938143335914,8388,16772,2.689455745,0.124482778,632,1260,4.141284455,0.512707087,[-0.63033199 -0.81419802 -0.201516  ],[0.46254301 0.93533099 0.40810901],7.289634187,1.165613092,2.151016077,0.000218013,1.749529004,0.494851456,2,0.22698946238097545,0.06576886240745679,0.010724499238508576
['data' 'LabeledDB_new' 'Ant' '86' 'original.ply'],Ant,True,1.8704414852783653,7038,14072,2.445923583,0.122762513,810,1616,3.765316705,0.495993977,[-0.330663 -0.925771 -0.480266],[0.31010199 0.90053701 0.35527501],6.46314976,0.977778682,2.108105665,0.000260347,1.826308012,0.09068991,2,0.22838664930847358,0.034308812496354,0.026643370514288764
['data' 'LabeledDB_new' 'Ant' '87' 'original.ply'],Ant,True,1.9079791605187417,7470,14936,2.663823593,0.139842747,365,726,5.353306222,0.898809438,[-0.56566799 -0.87576097 -0.54826599],[0.66233099 0.96299702 0.307246  ],9.763280572,1.931740027,2.370846515,0.000245412,1.838757992,0.350785339,2,0.2467377788720007,0.057964644932638185,0.02631779969632366
['data' 'LabeledDB_new' 'Ant' '88' 'original.ply'],Ant,True,1.861510544536948,8210,16416,2.847303205,0.140161294,395,786,5.725227507,0.967292682,[-0.76044601 -0.84433103 -0.638264  ],[0.75040698 0.98123503 0.37488699],12.27691639,2.794434495,2.577177353,0.000202027,1.825566053,0.357064426,2,0.2281755377934812,0.08662414876591987,0.03233869258137843
['data' 'LabeledDB_new' 'Ant' '89' 'original.ply'],Ant,True,1.852446567766093,7654,15304,2.581576438,0.103975796,409,814,4.111836403,0.54479307,[-0.54617202 -0.88876402 -0.209979  ],[0.48006299 0.91989797 0.42837101],7.331537612,1.184849286,2.175294752,0.000255923,1.808661997,0.34500262,1,0.19707548836116595,0.06010836781515193,0.014676432056198584
['data' 'LabeledDB_new' 'Ant' '90' 'original.ply'],Ant,True,1.8366656884469281,7877,15750,2.697030497,0.127336843,458,912,4.891267107,0.740560975,[-0.51492101 -0.88920599 -0.45636001],[0.60625899 0.91630399 0.38597399],8.979104334,1.705138136,2.286140298,0.000201946,1.805509984,0.338509176,1,0.2222077517889458,0.06518247774776151,0.0340960041851206
['data' 'LabeledDB_new' 'Ant' '91' 'original.ply'],Ant,True,1.8221448612393452,8640,17276,2.869964931,0.146163736,337,670,5.387283167,0.882630167,[-0.56759799 -0.80226099 -0.492147  ],[0.59686899 0.970994   0.40660301],9.410349036,1.855826084,2.303946219,0.000155827,1.773254991,0.338312705,1,0.24364613608193605,0.05577347022235773,0.035253781948387554
['data' 'LabeledDB_new' 'Ant' '92' 'original.ply'],Ant,True,1.946821103593413,5867,11730,2.189545086,0.101788409,501,998,3.73276659,0.455329801,[-0.45601901 -0.91071099 -0.31230801],[0.50269401 0.99820697 0.26227501],6.955593199,1.051546986,2.212067835,0.000245211,1.908917964,0.332862912,2,0.2584151538901944,0.033924152131376645,0.017675794947470125
['data' 'LabeledDB_new' 'Ant' '93' 'original.ply'],Ant,True,1.8964555015712727,8216,16432,2.849598762,0.153779902,590,1176,5.222706471,0.726337432,[-0.78944302 -0.88670301 -0.224755  ],[0.75233698 0.95122999 0.491097  ],10.50612534,2.028501484,2.503503021,0.000277563,1.837933004,0.331528131,2,0.25903264834394807,0.08266758452227979,0.023078836913817336
['data' 'LabeledDB_new' 'Ant' '94' 'original.ply'],Ant,True,1.8281657487274572,7236,14468,2.276848176,0.084216666,375,746,4.628771017,0.509069707,[-0.92970002 -0.290205   -0.77712297],[0.79455  0.330704 0.716456],9.146565129,1.599029177,2.364179405,0.000145405,1.724250019,0.440340569,2,0.17824614511731604,0.1025614729933735,0.008552157649219093
['data' 'LabeledDB_new' 'Ant' '95' 'original.ply'],Ant,True,1.881393298067636,7355,14706,2.445665084,0.121484992,609,1214,3.929345469,0.481039657,[-0.66633201 -0.82165003 -0.22944801],[0.51441699 0.95625001 0.25301301],7.053373055,1.012808079,2.188119144,0.000181,1.77790004,0.461205523,2,0.22426368913457465,0.06059291483962064,0.010465097349663922
['data' 'LabeledDB_new' 'Ant' '96' 'original.ply'],Ant,True,1.8748324531087084,8504,17004,2.59129351,0.103649669,438,872,4.494811864,0.444296798,[-0.76046199 -0.96573901 -0.33206201],[0.62312102 0.73051703 0.402383  ],9.217766895,1.723677091,2.308894967,0.00017199,1.696256042,0.608150557,1,0.18193073867028584,0.10085301763469066,0.007719121214027513
['data' 'LabeledDB_new' 'Ant' '97' 'original.ply'],Ant,True,1.8446480902871256,8167,16330,2.510812251,0.10008168,440,876,3.872775698,0.416827916,[-0.56225598 -0.88300699 -0.18466599],[0.49010399 0.82999498 0.211496  ],5.796451956,0.714159115,2.049092863,0.000235273,1.713001966,0.398464028,0,0.17962774815870292,0.06919907502843262,0.008882780724030703
['data' 'LabeledDB_new' 'Ant' '98' 'original.ply'],Ant,True,1.934170964091958,6154,12304,2.316680912,0.116988853,528,1052,3.879416678,0.513703819,[-0.44565299 -0.95827198 -0.42872301],[0.392499   0.93863899 0.38128099],7.610623254,1.287825113,2.226404376,0.000252959,1.896910965,0.33884082,1,0.24737831692554618,0.03244696449771436,0.019922296400820577
['data' 'LabeledDB_new' 'Ant' '99' 'original.ply'],Ant,True,1.8128002093457487,6881,13758,2.217973129,0.081787897,346,688,4.606933315,0.606724166,[-0.58798999 -0.93640298 -0.47950301],[0.67311198 0.81604701 0.28520799],9.029028843,1.690025149,2.290467643,0.000228361,1.752449989,0.326220743,1,0.20208282472190442,0.061885284668371315,0.019017505806742475
['data' 'LabeledDB_new' 'Armadillo' '281' 'original.ply'],Armadillo,True,1.7153211903731174,25273,50542,3.043360521,0.180681194,292,580,4.30860857,0.62792292,[-0.70611697 -0.684591   -0.471506  ],[0.54328698 0.64282799 0.65875202],9.14191465,1.874513182,2.144885684,0.001538294,1.327418983,0.523338112,1,0.12473834330426346,0.08991568570045207,0.03169119688617869
['data' 'LabeledDB_new' 'Armadillo' '282' 'original.ply'],Armadillo,False,1.8248408551889783,24473,48942,3.289124931,inf,506,1008,4.144838603,0.630130609,[-0.40090999 -0.892775   -0.490459  ],[0.448975   0.72728401 0.48733899],7.5839402,1.346294682,2.074363661,0.002526841,1.620059013,0.260313278,2,0.15712175007125287,0.06856695894449484,0.027509262437911713
['data' 'LabeledDB_new' 'Armadillo' '283' 'original.ply'],Armadillo,True,1.9896561474769812,24484,48964,2.609718047,0.133674925,397,790,3.525474659,0.432026654,[-0.47476    -0.951002   -0.47300401],[0.41338301 0.92768598 0.46067399],8.503745604,1.557882437,2.278161786,0.004175917,1.878687978,0.336761275,0,0.21933945411531408,0.03760242679672314,0.015489573175209121
['data' 'LabeledDB_new' 'Armadillo' '284' 'original.ply'],Armadillo,False,1.6577509413928908,25494,50984,3.408715296,inf,771,1538,4.468277458,0.714862648,[-0.56030202 -0.84252501 -0.70154899],[0.59750199 0.596627   0.69585198],10.59048966,2.328427707,2.316117031,3.71e-05,1.439152002,0.308324937,2,0.13324407161950272,0.0818965442894966,0.048082852996618616
['data' 'LabeledDB_new' 'Armadillo' '285' 'original.ply'],Armadillo,True,1.725435544793691,25193,50382,3.813834789,0.248592676,709,1414,5.01283676,0.85068604,[-0.47710499 -0.86975002 -0.78746903],[0.55666798 0.68065798 0.64269602],10.59715045,2.292225494,2.349004816,0.001679723,1.550408006,0.265538728,1,0.1883486702964984,0.0752929617015985,0.040569607850548896
['data' 'LabeledDB_new' 'Armadillo' '286' 'original.ply'],Armadillo,True,1.6997228388340808,25108,50212,4.577652173,0.30975429,895,1786,5.630447979,1.079817546,[-0.62711298 -0.65712398 -0.76235503],[0.71248603 0.66434503 0.55341703],10.54319505,2.329230458,2.296097115,0.002203323,1.339599013,0.338769214,2,0.1506816916091371,0.09671471556567696,0.07243089015838161
['data' 'LabeledDB_new' 'Armadillo' '287' 'original.ply'],Armadillo,False,1.8594117907108743,25491,50978,4.26706095,inf,433,862,5.669218245,1.026100558,[-0.63016498 -0.64700699 -0.72964299],[0.68514699 0.83988798 0.71523201],12.00913898,2.825786462,2.455313826,5.36e-05,1.486894965,0.283046164,3,0.17999721839137744,0.08934166702188512,0.05096944924968808
['data' 'LabeledDB_new' 'Armadillo' '288' 'original.ply'],Armadillo,True,1.7579494411443264,20000,39996,4.398618095,0.304945101,581,1158,5.842506441,1.118814285,[-0.66566598 -0.77881199 -0.628892  ],[0.79734999 0.68760598 0.77049702],12.48962126,3.002239302,2.499817403,0.006577858,1.466417968,0.65027048,2,0.1536627010340271,0.09456937324692544,0.07754907033981973
['data' 'LabeledDB_new' 'Armadillo' '289' 'original.ply'],Armadillo,True,1.839606188266805,25211,50418,3.631510118,0.222381426,408,812,5.99934061,1.075651809,[-0.928195   -0.88401002 -0.56693202],[0.867028   0.62945801 0.89740902],15.12412936,3.978633081,2.767256001,0.001159758,1.795222998,0.532967912,2,0.15070179920485743,0.12248098232281052,0.05564259451420632
['data' 'LabeledDB_new' 'Armadillo' '290' 'original.ply'],Armadillo,False,1.9415386123482934,25431,50858,2.84573892,inf,309,614,4.566734505,0.706182491,[-0.68312699 -0.74813598 -0.59238899],[0.39190999 0.70642799 0.60940099],9.207518227,1.879251065,2.171580069,4.87e-05,1.454563975,0.377496305,1,0.1562922344821663,0.07041300010376254,0.03378007926130369
['data' 'LabeledDB_new' 'Armadillo' '291' 'original.ply'],Armadillo,False,1.917101695211207,24615,49226,4.062041478,inf,797,1590,4.208555552,0.657062041,[-0.47343501 -0.98040003 -0.47274601],[0.46124399 0.906847   0.433274  ],8.641383258,1.598192277,2.292640059,0.011313109,1.887247026,0.363423802,3,0.19987310146209053,0.046926791001855414,0.03660598957082069
['data' 'LabeledDB_new' 'Armadillo' '292' 'original.ply'],Armadillo,True,1.6662220931837122,21774,43544,3.062498926,0.192041303,281,558,4.370000932,0.645425056,[-0.698511   -0.67981797 -0.487378  ],[0.58212602 0.64549297 0.67856902],9.471279078,1.978894564,2.180805527,0.001895835,1.325310946,0.3372096,1,0.12421853238278349,0.09771324691928204,0.028693923272003208
['data' 'LabeledDB_new' 'Armadillo' '293' 'original.ply'],Armadillo,True,1.8361274523815438,15000,29996,3.149469428,0.201448207,449,894,4.094773378,0.615688373,[-0.40590599 -0.89056402 -0.487903  ],[0.44767201 0.73643601 0.49389601],7.648400975,1.363494417,2.083183574,0.015916546,1.627000034,0.307695824,2,0.15655556777553584,0.07065184143784935,0.028275253701764695
['data' 'LabeledDB_new' 'Armadillo' '294' 'original.ply'],Armadillo,True,1.960498960498369,16501,32998,2.338783316,0.121005677,337,670,3.190093922,0.373509773,[-0.31573999 -0.94628698 -0.475999  ],[0.37474501 0.90486997 0.44398701],7.232942287,1.175922537,2.17943246,0.001409024,1.85115695,0.331388889,1,0.23705141349499687,0.02714538705666202,0.015463374077683455
['data' 'LabeledDB_new' 'Armadillo' '295' 'original.ply'],Armadillo,True,1.6158257002395116,16780,33556,2.698109311,0.177578846,621,1238,3.618679027,0.507675361,[-0.57701099 -0.88827503 -0.50263703],[0.551512   0.51448101 0.62818599],8.890942046,1.790140825,2.126040765,0.001665765,1.402756035,0.302123385,1,0.1465686351654592,0.06341375851652171,0.029662900464893845
['data' 'LabeledDB_new' 'Armadillo' '296' 'original.ply'],Armadillo,True,1.7771830553035404,15832,31660,3.573307265,0.254340059,507,1010,4.57127809,0.682669823,[-0.45333701 -0.86652499 -0.66138202],[0.42297301 0.73038101 0.616184  ],9.118162962,1.787806381,2.22490516,0.002219311,1.596906006,0.263946994,2,0.20907722331591758,0.07080922974255856,0.027240834167166904
['data' 'LabeledDB_new' 'Armadillo' '297' 'original.ply'],Armadillo,True,1.7399044921825637,15315,30626,4.105541119,0.304076277,795,1586,4.856529461,0.86566074,[-0.61183298 -0.54466897 -0.79831499],[0.759547   0.59240901 0.51267898],9.695878468,2.044319393,2.211862239,0.001539368,1.371379972,0.712029535,1,0.15775781777403108,0.07857812466946561,0.06281416387911462
['data' 'LabeledDB_new' 'Armadillo' '298' 'original.ply'],Armadillo,True,1.8633445616889523,15000,29996,4.024037758,0.279599364,381,758,5.602406606,1.007339172,[-0.63471001 -0.66605997 -0.67781299],[0.68663299 0.826428   0.70980102],11.75319964,2.736497683,2.428773417,0.007491666,1.492487967,0.291367995,3,0.17945193566388384,0.10006736303105215,0.05187922008737805
['data' 'LabeledDB_new' 'Armadillo' '299' 'original.ply'],Armadillo,True,1.7744855746563546,17117,34230,4.183994036,0.301897845,502,1000,5.780522998,1.078334243,[-0.684075   -0.77289402 -0.623182  ],[0.785519   0.706352   0.78919601],12.67753578,3.070355962,2.518469172,0.00175322,1.47924602,0.580116683,2,0.16088151940866244,0.09844682361354752,0.07483272157712323
['data' 'LabeledDB_new' 'Armadillo' '300' 'original.ply'],Armadillo,True,1.82275807301623,17453,34902,3.371262803,0.212655376,370,736,5.73486955,1.01163695,[-0.91782498 -0.85888702 -0.56888902],[0.860955   0.57993799 0.88204002],14.45573935,3.713439794,2.709145758,0.000553317,1.778779984,0.831714617,2,0.14593575066728146,0.1285610239864949,0.059122234927497755
['data' 'LabeledDB_new' 'Bearing' '341' 'original.ply'],Bearing,True,1.5627879785477023,1663,3322,1.792620132,0.118206704,151,298,1.876322181,0.156489884,[-0.231885   -0.23149399 -0.99838001],[0.23165201 0.231261   0.54238302],3.283401057,0.330499932,1.674204118,0.238882216,1.540763021,0.060361801,1,0.18768402185623503,0.012518034168047282,0.012498794088427516
['data' 'LabeledDB_new' 'Bearing' '342' 'original.ply'],Bearing,True,1.9358082447000378,1663,3322,2.750507766,0.224661506,151,298,2.878937014,0.297422173,[-0.28538299 -0.28698701 -0.94166702],[0.28879699 0.28622201 0.96685898],5.037893746,0.628143889,2.073818394,0.000949353,1.908526003,0.061653801,2,0.2879731728623372,0.01920705402923829,0.01917754966563309
['data' 'LabeledDB_new' 'Bearing' '343' 'original.ply'],Bearing,True,1.8647548328840249,1663,3322,2.552299738,0.200819962,151,298,2.671473449,0.265859086,[-0.27669901 -0.276398   -0.840792  ],[0.27640501 0.27577099 0.99768198],4.674845098,0.561482614,1.997698978,0.00041002,1.838473976,0.33250124,1,0.267938265232037,0.017831952473719225,0.017831948944333677
['data' 'LabeledDB_new' 'Bearing' '344' 'original.ply'],Bearing,True,1.298653600424556,3182,6360,1.962305279,0.162576951,150,296,2.035855518,0.198191689,[-0.26240599 -0.82496703 -0.26254901],[0.264029   0.39987701 0.25959101],3.118427266,0.336676284,1.431784524,0.310631059,1.224844038,0.322030094,1,0.13213341796727632,0.021140590284118937,0.02085939066003297
['data' 'LabeledDB_new' 'Bearing' '345' 'original.ply'],Bearing,True,1.2943798456860203,3614,7224,1.959582697,0.160123586,219,434,2.031514931,0.198645524,[-0.26699099 -0.81901199 -0.26346901],[0.26615    0.40181801 0.26430401],3.153146148,0.343514006,1.432902491,0.33502889,1.220829993,0.19789382,2,0.13609375662054113,0.021155605949659127,0.02051928278884205
['data' 'LabeledDB_new' 'Bearing' '346' 'original.ply'],Bearing,True,1.2937444523901815,3587,7170,1.956009899,0.16056846,239,474,2.027556687,0.198875468,[-0.26744401 -0.40218601 -0.266745  ],[0.26587701 0.81787902 0.26504901],3.16625306,0.346031093,1.43380433,0.340809215,1.220065027,0.238459904,2,0.1346078499082106,0.021148220894915627,0.02099783309465048
['data' 'LabeledDB_new' 'Bearing' '347' 'original.ply'],Bearing,True,1.922393289964148,2623,5242,4.27041123,0.593885021,381,758,4.290712847,0.622961953,[-0.34036401 -0.34220901 -0.88212597],[0.33957499 0.34191701 0.94083101],5.903591627,0.847973892,2.062405781,0.084100837,1.822956979,0.33212586,1,0.3721103072408937,0.0474577306329484,0.04440957674498262
['data' 'LabeledDB_new' 'Bearing' '348' 'original.ply'],Bearing,True,1.0131312121503906,2568,5132,0.484242773,0.016170775,304,604,0.489923864,0.017358901,[-0.077731   -0.50416899  0.71616203],[0.0773     0.50374001 0.87119299],0.673097693,0.024224695,1.031479405,0.804041104,1.007909,0.213884526,1,0.0716600321616502,0.0027852477062774634,0.0026946268645474856
['data' 'LabeledDB_new' 'Bearing' '349' 'original.ply'],Bearing,False,1.7637101302453138,2568,5132,1.467524185,inf,246,488,1.484741936,0.091580827,[-0.145886   -0.99659902 -0.145886  ],[0.124      0.75801998 0.124     ],2.039865338,0.127803736,1.795651623,0.203684755,1.754619002,0.32366363,0,0.16470429619199692,0.00838395018260019,0.008226348398203171
['data' 'LabeledDB_new' 'Bearing' '350' 'original.ply'],Bearing,True,1.8634108808974112,8759,17514,1.625176163,0.100405919,558,1112,1.649349832,0.107598565,[-0.14191601 -0.141449   -0.85696101],[0.143134   0.143601   0.99777299],2.277274756,0.150703639,1.898037206,0.000112248,1.854734004,0.257181238,1,0.2815203431213076,0.008790503794319216,0.00872530282759576
['data' 'LabeledDB_new' 'Bearing' '351' 'original.ply'],Bearing,False,1.8832681959364497,5192,10380,2.628244339,inf,272,540,2.865767039,0.302472393,[-0.26150301 -0.26158699 -0.991175  ],[0.26113299 0.26305699 0.85059601],4.406095486,0.505009619,1.985074341,0.000264928,1.841771007,0.334310964,2,0.30759049966257224,0.019922579053309894,0.017593539607799007
['data' 'LabeledDB_new' 'Bearing' '352' 'original.ply'],Bearing,True,1.6659565804235614,10400,20796,2.075969717,0.165015838,792,1580,2.23397827,0.208558544,[-0.233216   -0.23148499 -0.99318999],[0.232391 0.231397 0.636527],3.457390798,0.351238398,1.756993768,0.000118577,1.629716992,0.333423759,0,0.19343595310602144,0.019886903800319416,0.01898645960222094
