path,d1,d2,d3,d4,a3
['data' 'LabeledDB_new' 'Airplane' '71' 'normalized_v2.ply'],[-0.4617457   1.75358632  0.51823179  0.32393889  0.46754499  0.09613291  0.19347501  0.58161999  0.60019261 -0.97539349 -1.09646004 -1.00917196 -0.82877012 -0.55378531 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 0.74450982  0.94115486  0.32835806  0.22559764  0.72161964  1.03934832 -0.24503176 -0.99493067 -1.07683603 -1.10867626 -0.86918157 -0.54866935 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.52838618  0.96372295  0.9541908   0.1997502  -0.84982163 -0.73202509 -0.54478126 -0.52311332 -0.55421554 -0.46493243 -0.35937185 -0.27340016 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 0.61463452  1.21326823  0.96631871 -0.69091411 -1.27550814 -1.02347558 -0.71584105 -0.51915606 -0.3938566  -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.4724635   0.57060364 -0.18994305 -1.19638169 -0.46953927 -0.12515018 -0.10092706 -0.2573685  -0.42596693 -0.53636979 -0.57736086 -0.58543973 -0.51516452 -0.12172951  0.16066334  0.3625119   0.56638438  0.63940215  0.55484753  0.49386249]
['data' 'LabeledDB_new' 'Airplane' '72' 'normalized_v2.ply'],[-0.00443769  1.96644007  0.45250107  0.45255814  0.20758961  0.35000983  0.8965617   0.88654883 -0.77752416 -1.1203798  -0.95653765 -0.90986346 -0.82877012 -0.55378531 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 1.07735643  0.86081251  0.39719796  0.62580079  1.27586711  0.57011507 -0.75231578 -1.17711848 -1.23003647 -1.08263388 -0.83859413 -0.54282804 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.71210683  1.1473511   0.86072496 -0.02919935 -0.74500406 -0.70224919 -0.51375402 -0.57787611 -0.59200815 -0.46590276 -0.35937185 -0.27340016 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 1.05581672  1.7229268   0.8483451  -1.54949674 -1.54636596 -1.03875609 -0.71635599 -0.51915606 -0.3938566  -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.68853885  0.57839155 -0.19771779 -1.01435927 -0.47772322 -0.22194147 -0.17338804 -0.24749769 -0.36080366 -0.56667653 -0.78906384 -0.91729666 -0.72574624 -0.16037779  0.10558825  0.27893025  0.41572548  0.56758115  0.64147482  0.64112765]
['data' 'LabeledDB_new' 'Airplane' '73' 'normalized_v2.ply'],[ 0.76726957  1.85375279  0.62201713  0.70979664  0.13992999  0.00195276  0.46713151  0.54865471 -0.66452531 -0.79905879 -0.80426917 -0.86923725 -0.81708002 -0.55378531 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 1.0182253   0.86491526  0.1946483   0.65120915  1.33300961  0.32718331 -0.7218134  -0.95330583 -1.06643191 -1.06923986 -0.83702014 -0.54062341 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.79378767  1.29595304  1.02721032 -0.06178928 -0.98459385 -0.75826034 -0.66726964 -0.64384989 -0.5624857  -0.4562231  -0.35931429 -0.27340016 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 0.91180241  1.35370835  0.83050483 -0.94185582 -1.33506205 -1.03176271 -0.71594225 -0.51915606 -0.3938566  -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.7193469   0.19535232 -0.9580865  -1.71095636 -0.690307   -0.25949594 -0.15206023 -0.2946921  -0.4098029  -0.43298011 -0.57255777 -0.73155808 -0.40771207  0.36681483  0.7325644   0.98370004  1.09889386  1.10627668  1.02756365  1.10119277]
['data' 'LabeledDB_new' 'Airplane' '74' 'normalized_v2.ply'],[-0.4617457   2.1605126   0.90915658  0.9183684   0.94116233  0.84957409  0.33240831 -0.73287054 -0.929638   -1.26928466 -1.00180666 -0.90083541 -0.82877012 -0.55378531 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 0.9813784   1.26417816  0.92336704  1.39842638  1.06583989 -0.49968515 -1.33638574 -1.51402712 -1.32493308 -1.08881077 -0.85606912 -0.54750109 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.82336806  1.34629165  1.2547896   0.05420115 -0.86393058 -0.91316646 -0.97400642 -0.80489508 -0.61952589 -0.46511143 -0.35937185 -0.27340016 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 1.03421121  1.67089665  0.91828134 -1.51636618 -1.55566316 -1.04456861 -0.7163679  -0.51915606 -0.3938566  -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.30667549  0.22422753 -0.17292706 -0.86371601 -0.50347619 -0.29994904 -0.25221302 -0.27053153 -0.28371307 -0.31925296 -0.38795835 -0.35214662 -0.010269    0.30485837  0.45323163  0.63242844  0.77183203  0.79293629  0.66405112  0.6180127 ]
['data' 'LabeledDB_new' 'Airplane' '75' 'normalized_v2.ply'],[-0.4617457   0.9772962   0.03044068 -0.2079191  -0.12714746  0.26811405  0.39134971  0.30553577  0.43938655 -0.01926757 -0.28573326 -0.64353611 -0.48975725 -0.37379147 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 0.06062087  0.13974808 -0.13495241  0.03879829  0.73143299  0.83148337  0.30230245 -0.18690928 -0.43103088 -0.563029   -0.59100694 -0.53536623 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[-0.05493097  0.15756385  0.37869388  0.28759057 -0.14911951 -0.1587885 -0.10800447 -0.22576281 -0.33997265 -0.33341622 -0.31079357 -0.2698165 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 0.24179425  0.74610838  1.05074238 -0.07284921 -0.91484547 -0.96121737 -0.71551362 -0.51915606 -0.3938566  -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.3363268   0.40385123  0.16722206 -0.01439383  0.01596007 -0.03582739 -0.13998949 -0.23344695 -0.34793541 -0.49546459 -0.72037475 -0.94890652 -0.8940689  -0.30821258 -0.04916658  0.10357065  0.22467993  0.33320005  0.29691269  0.18299228]
['data' 'LabeledDB_new' 'Airplane' '76' 'normalized_v2.ply'],[-0.4617457   1.53447218  0.48709619  0.3169865   0.40700743  0.44009519 -0.39172888 -0.45678633 -0.26468322 -0.15249823 -0.0388114  -0.69319036 -0.64172854 -0.55378531 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 0.43828892  0.98629041  0.43460854  0.25711194  0.15950327  0.22604924 -0.45443503 -0.80925036 -0.73344193 -0.50539332 -0.39943888 -0.44850028 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.33091506  0.72235627  0.98417284  0.812464   -0.47926298 -0.89506072 -0.80104787 -0.71655307 -0.60282204 -0.46346282 -0.35937185 -0.27340016 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 0.44292838  1.03850513  1.2295021  -0.62496036 -1.25886714 -1.00966055 -0.71404915 -0.51915606 -0.3938566  -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.68421152  0.98368975  0.34078911 -0.83065452 -0.83884184 -0.783307 -0.74711971 -0.81824961 -0.88595135 -0.93645082 -0.95969638 -0.77338957 -0.09632852  0.54591998  0.87197521  1.08456584  1.16271494  1.07583585  0.7858427   0.52633249]
['data' 'LabeledDB_new' 'Airplane' '77' 'normalized_v2.ply'],[-0.4617457   1.49690975  0.3694728   0.21965301  0.23251684  0.23126095 -0.45488038 -0.33728719  0.02650613  0.18057843 -0.34334836 -0.51262945 -0.43130675 -0.55378531 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 0.39686779  0.5221625   0.02056094 -0.08318166  0.53208792  0.98778472  0.02124706 -0.58467938 -0.62675787 -0.53972986 -0.51239426 -0.51313156 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.24476504  0.55919743  0.74467495  0.31579466 -0.54950287 -0.58295189 -0.39202164 -0.37469976 -0.40271807 -0.37011886 -0.32801276 -0.26918409 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 0.234735    0.75115858  0.99323272 -0.11186532 -0.85422453 -0.92219279 -0.70292273 -0.51893629 -0.3938566  -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.80258902  0.63574155 -0.2029071  -0.8366772  -0.31529862 -0.22222824 -0.30636107 -0.44656325 -0.57116943 -0.72844629 -0.88021944 -1.06776338 -1.0112074  -0.29125298  0.10377068  0.40717529  0.66730324  0.75465753  0.65784332  0.52965361]
['data' 'LabeledDB_new' 'Airplane' '78' 'normalized_v2.ply'],[-0.4617457   1.16510833 -0.2048061  -0.40606227 -0.44407936 -0.42800008  0.04612152  0.14895069  0.51327041  0.86240593  0.59907007 -0.25984418 -0.77031962 -0.55378531 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 0.38434936  0.26601558 -0.19971201 -0.55620007 -0.84844206 -0.10551497  0.86257012  0.70529405  0.19848007 -0.16130985 -0.43215801 -0.51708858 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.07521401  0.25258101  0.25649345 -0.10206071 -0.20741952 -0.03812875 -0.08984382 -0.04662069 -0.10666085 -0.27463642 -0.3375193  -0.27337381 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 0.24968664  0.62895306  0.93247816  0.21135994 -0.89205523 -0.91553109 -0.68254216 -0.51127406 -0.39370629 -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.74709044  0.46420965 -0.50741557 -1.7028137  -1.03670247 -0.62262872 -0.32519776 -0.22321151 -0.19670161 -0.22194175 -0.30027144 -0.36070077 -0.1482792   0.24297642  0.35557338  0.53171804  0.75828892  0.98449771  1.06110381  0.9330815 ]
['data' 'LabeledDB_new' 'Airplane' '79' 'normalized_v2.ply'],[ 0.28137981  1.1275459  -0.00761394 -0.13839518 -0.07373197  0.36638899  0.59764461  1.11730579  0.31769548 -0.50516763 -0.77134626 -0.64353611 -0.80538992 -0.55378531 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 0.44615216  0.31701449 -0.06027828  0.06470887  0.82797783  1.15244123  0.24138471 -0.45968659 -0.68437731 -0.91490032 -0.81571552 -0.51918015 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.27349079  0.52783279  0.468864    0.0273188  -0.1605771  -0.271054 -0.25379096 -0.30153628 -0.45227544 -0.45028812 -0.35932388 -0.27340016 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 0.41523655  0.94256266  1.13210882 -0.38218782 -1.21840501 -0.96673115 -0.69643976 -0.51717394 -0.3938566  -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.50862656  0.2585364  -0.23994319 -0.59117775 -0.30488925 -0.18846413 -0.12489802 -0.11036625 -0.12757858 -0.24236816 -0.41622783 -0.60704471 -0.73668938 -0.35651705 -0.10220114  0.09934546  0.32239045  0.5021295  0.54393566  0.53607909]
['data' 'LabeledDB_new' 'Airplane' '80' 'normalized_v2.ply'],[ 0.13847106  0.98981701 -0.11831831 -0.24963345 -0.01675545  0.59160238  0.7744688   1.00192731  0.1481972  -0.36409987 -0.64788533 -0.72930255 -0.81708002 -0.55378531 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 0.35783497  0.29860281 -0.05201266  0.08106406  0.91179675  1.13009849  0.14947413 -0.42723133 -0.64078049 -0.88666703 -0.82337477 -0.53751433 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.13680262  0.39956535  0.42953944  0.07259545 -0.09482529 -0.14268446 -0.21370845 -0.30496874 -0.43417254 -0.4415411  -0.35881546 -0.27340016 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 0.35749607  0.9678615   1.20174283 -0.42497396 -1.2406341  -0.98944962 -0.7055689  -0.51876301 -0.3938566  -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.38821225  0.20995542 -0.20271233 -0.4314262  -0.23662563 -0.18030987 -0.17476442 -0.15038637 -0.21356185 -0.32701458 -0.43475661 -0.53679002 -0.42471213 -0.00960596  0.12936218  0.2375438   0.39229106  0.54081396  0.52541215  0.36853415]
