path,class,nr_of_vertices,nr_of_faces,mesh_area,convex_hull_area,bounding_box_area
data\LabeledDB_new\Ant\96.ply,Ant,8504,17004,2.5912935095539873,4.494811863596064,9.21776689488458
data\LabeledDB_new\Ant\97.ply,Ant,8167,16330,2.510812250624304,3.872775698465719,5.7964519561297445
data\LabeledDB_new\Ant\98.ply,Ant,6154,12304,2.3166809124199346,3.8794166783802893,7.610623254347708
data\LabeledDB_new\Ant\99.ply,Ant,6881,13758,2.217973129408568,4.606933314517658,9.029028843060289
data\LabeledDB_new\Armadillo\281.ply,Armadillo,25273,50542,3.0433605212355683,4.308608569814945,9.14191465026338
data\LabeledDB_new\Armadillo\282.ply,Armadillo,24473,48942,3.289124930915426,4.144838603412614,7.583940200014695
data\LabeledDB_new\Armadillo\283.ply,Armadillo,24484,48964,2.609718046875874,3.5254746585969197,8.503745603931176
data\LabeledDB_new\Armadillo\284.ply,Armadillo,25494,50984,3.4087152962891367,4.468277457901221,10.590489660162973
data\LabeledDB_new\Armadillo\285.ply,Armadillo,25193,50382,3.8138347887786517,5.012836760444292,10.597150449753734
data\LabeledDB_new\Armadillo\286.ply,Armadillo,25108,50212,4.577652173358797,5.630447978851161,10.543195049664988
data\LabeledDB_new\Armadillo\287.ply,Armadillo,25491,50978,4.267060949849468,5.669218244937494,12.009138983436529
data\LabeledDB_new\Armadillo\288.ply,Armadillo,20000,39996,4.398618095031316,5.8425064405359635,12.48962125916561
data\LabeledDB_new\Armadillo\289.ply,Armadillo,25211,50418,3.631510117955802,5.999340609580772,15.12412935883492
data\LabeledDB_new\Armadillo\290.ply,Armadillo,25431,50858,2.845738920193223,4.566734505159553,9.207518226645703
data\LabeledDB_new\Armadillo\291.ply,Armadillo,24615,49226,4.06204147804655,4.208555552307211,8.641383258185302
data\LabeledDB_new\Armadillo\292.ply,Armadillo,21774,43544,3.0624989264750844,4.3700009322894,9.471279078334135
data\LabeledDB_new\Armadillo\293.ply,Armadillo,15000,29996,3.14946942843368,4.094773377931725,7.6484009745565835
data\LabeledDB_new\Armadillo\294.ply,Armadillo,16501,32998,2.3387833158605194,3.1900939217375086,7.232942287428045
data\LabeledDB_new\Armadillo\295.ply,Armadillo,16780,33556,2.6981093109354832,3.618679026633184,8.890942045632954
data\LabeledDB_new\Armadillo\296.ply,Armadillo,15832,31660,3.573307264813682,4.571278089662721,9.118162962204593
data\LabeledDB_new\Armadillo\297.ply,Armadillo,15315,30626,4.105541119048082,4.856529461071045,9.69587846824924
data\LabeledDB_new\Armadillo\298.ply,Armadillo,15000,29996,4.024037758445584,5.602406606181057,11.753199635822405
data\LabeledDB_new\Armadillo\299.ply,Armadillo,17117,34230,4.18399403594868,5.780522998022308,12.677535780091105
data\LabeledDB_new\Armadillo\300.ply,Armadillo,17453,34902,3.371262802950667,5.734869550300532,14.455739348479057
data\LabeledDB_new\Bearing\341.ply,Bearing,1663,3322,1.7926201323730173,1.8763221811983588,3.28340105727999
data\LabeledDB_new\Bearing\342.ply,Bearing,1663,3322,2.750507765858264,2.878937013902076,5.0378937458768025
data\LabeledDB_new\Bearing\343.ply,Bearing,1663,3322,2.5522997379671124,2.671473448510902,4.674845098046005
data\LabeledDB_new\Bearing\344.ply,Bearing,3182,6360,1.962305278727493,2.0358555176760706,3.118427265818223
data\LabeledDB_new\Bearing\345.ply,Bearing,3614,7224,1.959582697198938,2.031514931157394,3.1531461479542795
data\LabeledDB_new\Bearing\346.ply,Bearing,3587,7170,1.9560098989342616,2.02755668675737,3.1662530604216137
data\LabeledDB_new\Bearing\347.ply,Bearing,2623,5242,4.270411230032487,4.290712846982886,5.903591627017487
data\LabeledDB_new\Bearing\348.ply,Bearing,2568,5132,0.4842427732276477,0.489923863676814,0.6730976928382653
data\LabeledDB_new\Bearing\349.ply,Bearing,2568,5132,1.467524185010188,1.4847419358122163,2.0398653380034735
data\LabeledDB_new\Bearing\350.ply,Bearing,8759,17514,1.625176163408567,1.6493498316379125,2.2772747562457116
data\LabeledDB_new\Bearing\351.ply,Bearing,5192,10380,2.6282443388743157,2.865767038583255,4.406095485903226
data\LabeledDB_new\Bearing\352.ply,Bearing,10400,20796,2.0759697166511115,2.2339782702118556,3.457390798153036
data\LabeledDB_new\Bearing\353.ply,Bearing,1512,3020,1.402993167955386,1.664903041750056,3.084368557819357
data\LabeledDB_new\Bearing\354.ply,Bearing,2910,5816,0.9133524178859713,1.141887359389858,1.9211384091766326
data\LabeledDB_new\Bearing\355.ply,Bearing,14994,29984,1.621179972504907,1.6210360744735652,2.10181262249803
data\LabeledDB_new\Bearing\356.ply,Bearing,14992,29980,1.6212510351351253,1.6212481024905077,2.102094067993619
data\LabeledDB_new\Bearing\357.ply,Bearing,14872,29764,1.8076455578896489,1.639711412805338,1.639711412805338
data\LabeledDB_new\Bearing\358.ply,Bearing,14127,28266,2.4601354940728486,3.0228334394487013,6.530803110547591
data\LabeledDB_new\Bearing\359.ply,Bearing,14956,29924,2.4758222419369496,3.041878516689414,6.5719817932272395
data\LabeledDB_new\Bearing\360.ply,Bearing,2200,4396,0.02401534704587683,0.023578025366316688,0.031868776288166895
data\LabeledDB_new\Bird\241.ply,Bird,3478,6952,1.3918080879116395,3.0964897748143283,7.4615058809234505
data\LabeledDB_new\Bird\242.ply,Bird,7849,15694,2.830909962498331,4.090764785917267,9.726040645734592
data\LabeledDB_new\Bird\243.ply,Bird,3158,6312,1.3908105481385993,2.0056941757389697,4.86255013801869
data\LabeledDB_new\Bird\244.ply,Bird,4501,8998,1.7407587284487862,2.4423569446722992,5.239072038473701
data\LabeledDB_new\Bird\245.ply,Bird,6475,12946,2.424967908102898,3.7949232442069807,9.306894920027226
data\LabeledDB_new\Bird\246.ply,Bird,4219,8434,1.6312860199685641,2.258476979380192,5.3604263235283085
data\LabeledDB_new\Bird\247.ply,Bird,5519,11034,2.0755688583616605,3.1346948686798806,7.884855926063096
data\LabeledDB_new\Bird\248.ply,Bird,11790,23576,2.805618528714311,4.220736337296967,10.04224465848732
data\LabeledDB_new\Bird\249.ply,Bird,3714,7424,1.3842948537110853,2.4823515781771355,6.07844022741506
data\LabeledDB_new\Bird\250.ply,Bird,4280,8556,1.69193710204708,3.031118626498177,6.392938764212142
data\LabeledDB_new\Bird\251.ply,Bird,3158,6312,1.3908105481385993,2.0056941757389697,4.86255013801869
data\LabeledDB_new\Bird\252.ply,Bird,6351,12698,2.2128306161697835,3.513191417428728,8.020287790078397
data\LabeledDB_new\Bird\253.ply,Bird,6164,12324,2.2341422231912462,4.072468185783127,9.197685043300725
data\LabeledDB_new\Bird\254.ply,Bird,3638,7272,1.5161980883568122,2.2888461922036663,5.034960689660032
data\LabeledDB_new\Bird\255.ply,Bird,5054,10104,1.9921860194040142,2.979504501429879,7.30536094888719
data\LabeledDB_new\Bird\256.ply,Bird,5970,11936,2.0274208156526607,3.9492390822689014,12.58112666820325
data\LabeledDB_new\Bird\257.ply,Bird,2135,4266,1.9338322453297379,2.7065340449525213,5.223380512283227
data\LabeledDB_new\Bird\258.ply,Bird,8946,17888,3.0379914818311384,4.328730316553129,10.9770114850771
data\LabeledDB_new\Bird\259.ply,Bird,9015,18026,3.056228952171858,4.763023460263161,9.9765134775163
data\LabeledDB_new\Bird\260.ply,Bird,2497,4990,2.4509864524093574,3.3383681041686364,7.502068722653711
data\LabeledDB_new\Bust\301.ply,Bust,9252,18500,4.853562981084298,5.1431317707506885,8.467406823736232
data\LabeledDB_new\Bust\302.ply,Bust,25125,50246,5.93842411593972,5.844901172888237,11.221072659237834
data\LabeledDB_new\Bust\303.ply,Bust,15516,31028,3.8438035346848634,3.919427377450618,8.020525462530745
data\LabeledDB_new\Bust\304.ply,Bust,25467,50930,4.453504381369488,4.943196473985002,8.592112025862313
data\LabeledDB_new\Bust\305.ply,Bust,27824,55644,7.408598651531967,7.188502465808851,13.718348463280556
data\LabeledDB_new\Bust\306.ply,Bust,26798,53592,4.6723924808685675,4.9674379912442514,10.11716465401998
data\LabeledDB_new\Bust\307.ply,Bust,27439,54874,7.6535182332104075,7.620986770354867,17.891958241961213
data\LabeledDB_new\Bust\308.ply,Bust,23976,47948,8.530232132855419,8.43077294391525,17.22155905988153
data\LabeledDB_new\Bust\309.ply,Bust,5197,10390,5.382422937406557,4.828836819481636,9.062291184102826
data\LabeledDB_new\Bust\310.ply,Bust,8263,16522,8.09344624178696,8.094856620206238,16.278395017231446
data\LabeledDB_new\Bust\311.ply,Bust,25230,50456,6.156668760342801,6.401225691913986,11.274090942456489
data\LabeledDB_new\Bust\312.ply,Bust,26985,53966,5.794277138905737,5.799282968687731,12.024804876691768
data\LabeledDB_new\Bust\313.ply,Bust,10852,21700,6.323545607203105,6.048685251358046,12.566348428032576
data\LabeledDB_new\Bust\314.ply,Bust,26437,52870,4.646911955821716,5.191319754031788,9.53528114191981
data\LabeledDB_new\Bust\315.ply,Bust,25768,51532,5.3841017829980515,5.41381150239294,11.137604834451565
data\LabeledDB_new\Bust\316.ply,Bust,23395,46786,5.799751692409741,5.653548119235682,11.605026699413678
data\LabeledDB_new\Bust\317.ply,Bust,27726,55448,5.638353576716769,5.683256846143689,11.539366318523655
data\LabeledDB_new\Bust\318.ply,Bust,25145,50286,4.5475924891944866,4.729786686140117,10.283000610941883
data\LabeledDB_new\Bust\319.ply,Bust,26558,53112,6.234701868493295,6.627609467662204,11.431087232287865
data\LabeledDB_new\Bust\320.ply,Bust,27118,54232,7.328716403291481,6.9082640116725536,15.222762473225046
data\LabeledDB_new\Chair\101.ply,Chair,8499,16998,2.2662722816084178,4.780086413247083,6.3839064534456895
data\LabeledDB_new\Chair\102.ply,Chair,15724,31456,3.929325510561443,5.84967120763375,10.664386882406845
data\LabeledDB_new\Chair\103.ply,Chair,9652,19304,2.613103711758,5.001059745619926,7.113076964342632
data\LabeledDB_new\Chair\104.ply,Chair,8653,17306,2.3851709016173683,4.373988635282101,5.509792772668607
data\LabeledDB_new\Chair\105.ply,Chair,9261,18530,2.3805609813201207,4.127527111635429,5.1989017721251685
data\LabeledDB_new\Chair\106.ply,Chair,14052,28104,3.343648056144632,5.622585801753924,8.159018040851088
data\LabeledDB_new\Chair\107.ply,Chair,11421,22854,3.689781753144609,5.210761871223943,10.136933087685524
data\LabeledDB_new\Chair\108.ply,Chair,10500,21008,3.5910257337736406,5.283905979750112,10.263085956738514
data\LabeledDB_new\Chair\109.ply,Chair,10301,20602,1.9375973757353482,4.776018473948519,6.31593291429159
data\LabeledDB_new\Chair\110.ply,Chair,8456,16920,2.1142182031982006,3.9702989473159938,5.5970514421723045
data\LabeledDB_new\Chair\111.ply,Chair,8050,16100,2.093151541315412,4.10023357107579,5.783384911308952
data\LabeledDB_new\Chair\112.ply,Chair,13628,27256,2.7394106605897592,5.242775017288079,6.650734879180698
data\LabeledDB_new\Chair\113.ply,Chair,10748,21500,2.317938386778334,4.376321793770963,6.641338772129057
data\LabeledDB_new\Chair\114.ply,Chair,5794,11588,1.0076492938001078,3.4729670343526817,4.5798981682703825
data\LabeledDB_new\Chair\115.ply,Chair,10043,20086,2.227529079056763,4.53300015140817,6.875352576754402
data\LabeledDB_new\Chair\116.ply,Chair,13463,26926,3.6093777121465305,5.446455364806878,8.6710954060747
data\LabeledDB_new\Chair\117.ply,Chair,14372,28744,3.451179107926827,5.7051433913079075,7.929017409682157
data\LabeledDB_new\Chair\118.ply,Chair,9153,18306,2.259433926335363,4.725132405084435,6.366270782768634
data\LabeledDB_new\Chair\119.ply,Chair,12326,24652,2.989903270983901,5.268300181960425,7.502479958664928
data\LabeledDB_new\Chair\120.ply,Chair,10121,20242,2.7502821332220555,4.53632487279285,6.3266341577600045
data\LabeledDB_new\Cup\21.ply,Cup,15198,30396,8.532710254929206,6.248269227365263,10.417006860431883
data\LabeledDB_new\Cup\22.ply,Cup,15002,30004,11.408528863769403,8.073047575232374,13.086801940555922
data\LabeledDB_new\Cup\23.ply,Cup,15037,30074,8.3282729238813,6.383787001799344,11.660478303377474
data\LabeledDB_new\Cup\24.ply,Cup,15246,30492,11.531435520839333,8.298321268073494,13.48540636100897
data\LabeledDB_new\Cup\25.ply,Cup,15087,30170,11.919530211221339,7.530822061858638,10.567541001787355
data\LabeledDB_new\Cup\26.ply,Cup,15209,30418,10.73081162978652,6.9208235182378655,10.975660866255502
data\LabeledDB_new\Cup\27.ply,Cup,15137,30274,9.935083355420456,6.625247600484774,10.451953042072915
data\LabeledDB_new\Cup\28.ply,Cup,15070,30140,8.754257894662635,6.409398673671895,10.69401271100056
data\LabeledDB_new\Cup\29.ply,Cup,15127,30254,8.964377227889232,6.483382592034221,9.681481069204207
data\LabeledDB_new\Cup\30.ply,Cup,15006,30008,4.257558864371799,5.622001474812841,8.69966629318867
data\LabeledDB_new\Cup\31.ply,Cup,15227,30454,10.6946500753399,7.878090909904279,14.084761122251969
data\LabeledDB_new\Cup\32.ply,Cup,14751,29502,9.682185329609265,6.39432625901743,9.912652373311708
data\LabeledDB_new\Cup\33.ply,Cup,7349,14698,10.44848657084975,7.43876415589878,12.365287595649662
data\LabeledDB_new\Cup\34.ply,Cup,9602,19204,11.147574319828392,8.071488663965457,12.770908942219279
data\LabeledDB_new\Cup\35.ply,Cup,15136,30268,6.277348325543741,6.018322749361538,7.906061036148859
data\LabeledDB_new\Cup\36.ply,Cup,9076,18152,8.935174311733464,5.926881956052792,12.776767327923125
data\LabeledDB_new\Cup\37.ply,Cup,6270,12540,12.477987278992194,8.524179252906345,12.934788357236236
data\LabeledDB_new\Cup\38.ply,Cup,15064,30128,11.158973311905923,7.810242635298435,11.865485171224918
data\LabeledDB_new\Cup\39.ply,Cup,15161,30322,11.659442345741162,7.396323331141187,10.87998944883067
data\LabeledDB_new\Cup\40.ply,Cup,15165,30326,11.282776553574069,6.704658970600462,9.72318831484587
data\LabeledDB_new\Fish\221.ply,Fish,7121,14238,2.451626017109049,3.558075476872864,7.195971382940153
data\LabeledDB_new\Fish\222.ply,Fish,5255,10506,1.8406226000814068,2.6010389094523063,5.1499648462636785
data\LabeledDB_new\Fish\223.ply,Fish,6656,13308,2.2061511621508867,2.911894375576627,7.027141832961405
data\LabeledDB_new\Fish\224.ply,Fish,5061,10118,1.7714152132196102,2.2859414485287655,4.794854957266201
data\LabeledDB_new\Fish\225.ply,Fish,6076,12148,2.0792301708184033,2.7681866529552246,6.446730652522092
data\LabeledDB_new\Fish\226.ply,Fish,5216,10428,1.9114275913565495,2.5944098038191643,5.024801592883563
data\LabeledDB_new\Fish\227.ply,Fish,5216,10428,1.9114275913565495,2.5944098038191643,5.024801592883563
data\LabeledDB_new\Fish\228.ply,Fish,5592,11180,1.9606901860555255,2.8972092655897046,5.548179584875349
data\LabeledDB_new\Fish\229.ply,Fish,5245,10486,2.024837233967823,2.8724571563796797,5.405255498529854
data\LabeledDB_new\Fish\230.ply,Fish,7573,15142,2.630009973209686,3.7071368113523797,7.472447931226428
data\LabeledDB_new\Fish\231.ply,Fish,6264,12524,2.0851376502173067,2.7742215722986185,6.10980970990366
data\LabeledDB_new\Fish\232.ply,Fish,5440,10876,1.8773962985255723,2.455067707573609,4.710325927666466
data\LabeledDB_new\Fish\233.ply,Fish,10186,20368,3.047128070103756,3.5637790237558553,8.599866814929152
data\LabeledDB_new\Fish\234.ply,Fish,7498,14992,2.6287792819987987,3.2948106499807754,7.698152633831347
data\LabeledDB_new\Fish\235.ply,Fish,5250,10496,1.845555633358345,2.4878156534366895,5.43293929755853
data\LabeledDB_new\Fish\236.ply,Fish,4845,9686,1.6438083712910259,2.2617038840764394,5.226027428201929
data\LabeledDB_new\Fish\237.ply,Fish,4439,8874,1.4890464535935823,2.0052258686336213,4.256614140230749
data\LabeledDB_new\Fish\238.ply,Fish,5096,10188,1.663834974050481,2.3206506234136755,4.910917292876756
data\LabeledDB_new\Fish\239.ply,Fish,5121,10238,1.8692753599697034,2.1646112080305526,4.743741779571387
data\LabeledDB_new\Fish\240.ply,Fish,6833,13662,2.2338432480161865,2.9553763102601844,6.081785658416825
data\LabeledDB_new\FourLeg\381.ply,FourLeg,6938,13872,2.834354356923868,4.068415224074669,6.551744479059323
data\LabeledDB_new\FourLeg\382.ply,FourLeg,8078,16152,2.518692335778726,4.161098257517325,7.957842266764864
data\LabeledDB_new\FourLeg\383.ply,FourLeg,13331,26658,3.5885058808858443,4.542643250397989,6.539850476708729
data\LabeledDB_new\FourLeg\384.ply,FourLeg,4712,9420,3.00633389492072,4.508909393121314,7.213546676863027
data\LabeledDB_new\FourLeg\385.ply,FourLeg,10436,20868,3.080083855079656,4.5923070102465555,7.811678107663234
data\LabeledDB_new\FourLeg\386.ply,FourLeg,2087,4170,3.3041091063801837,5.5441807599164425,10.390735989969606
data\LabeledDB_new\FourLeg\387.ply,FourLeg,14680,29356,2.7321644978810475,4.1725529318935,8.767660964431052
data\LabeledDB_new\FourLeg\388.ply,FourLeg,8411,16818,3.712778225750211,4.677984694874701,7.679289379900451
data\LabeledDB_new\FourLeg\389.ply,FourLeg,9490,18976,3.012498917355984,4.611849639297404,7.693075862597553
data\LabeledDB_new\FourLeg\390.ply,FourLeg,9239,18474,1.5437187401965453,3.107883388343022,6.308152051225404
data\LabeledDB_new\FourLeg\391.ply,FourLeg,4315,8626,3.077273067272319,4.081708439071516,6.12735581816268
data\LabeledDB_new\FourLeg\392.ply,FourLeg,8618,17232,3.26326733250019,4.374117051583111,7.383541579318134
data\LabeledDB_new\FourLeg\393.ply,FourLeg,9757,19510,2.526762995959587,3.9154282344777336,6.50649686813675
data\LabeledDB_new\FourLeg\394.ply,FourLeg,9009,18014,2.3857973338510265,4.339846122312619,6.356779987425888
data\LabeledDB_new\FourLeg\395.ply,FourLeg,11312,22620,2.6144222048425583,4.252140512047527,10.27690842244958
data\LabeledDB_new\FourLeg\396.ply,FourLeg,5538,11072,2.7857647380668498,3.9042093173262455,7.027274797308827
data\LabeledDB_new\FourLeg\397.ply,FourLeg,7268,14532,2.6987574179931437,3.9339306411915524,6.788699096127594
data\LabeledDB_new\FourLeg\398.ply,FourLeg,1480,2956,1.5396043559475847,2.194496631337938,4.110348246858474
data\LabeledDB_new\FourLeg\399.ply,FourLeg,3911,7818,2.7977041264426874,4.498922391970494,8.140305979143761
data\LabeledDB_new\FourLeg\400.ply,FourLeg,3703,7402,2.360790309927715,4.200491978331081,6.303734846221262
data\LabeledDB_new\Glasses\41.ply,Glasses,7016,14028,0.7815101511687472,2.84312160665969,3.597891824831733
data\LabeledDB_new\Glasses\42.ply,Glasses,4164,8324,0.5733849686457274,2.2729498162734965,3.587761987771045
data\LabeledDB_new\Glasses\43.ply,Glasses,3414,6824,0.45997686602224336,2.066416728923219,3.38003112001046
data\LabeledDB_new\Glasses\44.ply,Glasses,6288,12572,0.8817050164168292,2.949541860077349,4.088338275664517
data\LabeledDB_new\Glasses\45.ply,Glasses,5399,10794,0.756253775608578,2.8185204178960315,4.196758337498296
data\LabeledDB_new\Glasses\46.ply,Glasses,2394,4784,0.6634611242391873,1.570726188143497,3.369741722565706
data\LabeledDB_new\Glasses\47.ply,Glasses,2028,4052,0.6304832010315211,1.0804458918355726,1.7440398079026502
data\LabeledDB_new\Glasses\48.ply,Glasses,5176,10348,0.8009241853858475,2.6469774695775454,4.112699583113597
data\LabeledDB_new\Glasses\49.ply,Glasses,3110,6220,0.7697576496109236,2.4669266109490398,3.902550327943212
data\LabeledDB_new\Glasses\50.ply,Glasses,7420,14836,0.8592058735597606,2.9493809316839457,3.716905292170262
data\LabeledDB_new\Glasses\51.ply,Glasses,2858,5712,0.6154900735113208,2.471537252328277,3.8848635328910417
data\LabeledDB_new\Glasses\52.ply,Glasses,1554,3104,0.4551948303125991,1.5463118528551814,2.8721347151308176
data\LabeledDB_new\Glasses\53.ply,Glasses,2496,4988,0.6526535211821848,1.8379562563110663,3.6710170651079794
data\LabeledDB_new\Glasses\54.ply,Glasses,7407,14810,0.8300554675600984,2.9366086527009263,3.706276860573828
data\LabeledDB_new\Glasses\55.ply,Glasses,2850,5696,0.5875345095290091,2.370688658148809,3.767289177197048
data\LabeledDB_new\Glasses\56.ply,Glasses,8771,17538,1.438253335761596,3.115336234970235,5.4079720958012345
data\LabeledDB_new\Glasses\57.ply,Glasses,7413,14822,0.8304151551999185,2.9387280745956397,3.7035753331876746
data\LabeledDB_new\Glasses\58.ply,Glasses,1857,3710,0.546461584524097,1.2206293864816857,1.9735582853464937
data\LabeledDB_new\Glasses\59.ply,Glasses,2895,5786,0.7947336383380638,2.388846641026184,3.772156454124958
data\LabeledDB_new\Glasses\60.ply,Glasses,2375,4746,0.6501226663003109,1.6970542571793497,3.4129328923503293
data\LabeledDB_new\Hand\181.ply,Hand,7242,14480,2.8870044731514137,3.4699490585964186,7.475856014560759
data\LabeledDB_new\Hand\182.ply,Hand,10283,20562,4.174788288246928,4.416505578096244,8.846777907599186
data\LabeledDB_new\Hand\183.ply,Hand,11413,22822,5.2067589807638495,5.817104583291248,10.71965979757551
data\LabeledDB_new\Hand\184.ply,Hand,4685,9366,3.375194259494556,3.437671061918286,6.949265218919351
data\LabeledDB_new\Hand\185.ply,Hand,2489,4974,2.4991213035937374,2.807392977362017,5.242281819269622
data\LabeledDB_new\Hand\186.ply,Hand,6607,13210,3.135112357916492,3.775563886327958,7.348518472755956
data\LabeledDB_new\Hand\187.ply,Hand,7628,15256,3.0426864854097335,3.5577195276990867,7.526615231677059
data\LabeledDB_new\Hand\188.ply,Hand,8603,17202,3.3728697799915137,4.716611267640598,11.068866185759411
data\LabeledDB_new\Hand\189.ply,Hand,14084,28164,3.3662816666646447,4.358778246084153,9.988314725175648
data\LabeledDB_new\Hand\190.ply,Hand,7500,14996,2.3815744992845103,3.2726258089204046,6.586002055696658
data\LabeledDB_new\Hand\191.ply,Hand,13766,27528,4.930784505187036,5.251303410024211,11.477540848018776
data\LabeledDB_new\Hand\192.ply,Hand,6991,13978,2.88952545262089,3.6963924941319433,7.677177329760141
data\LabeledDB_new\Hand\193.ply,Hand,7314,14624,2.3732337073833376,2.9780001145072412,5.285859812882364
data\LabeledDB_new\Hand\194.ply,Hand,8471,16938,2.8521067900292936,3.488316248986113,6.162503821142645
data\LabeledDB_new\Hand\195.ply,Hand,8524,17044,2.7260532465392,2.893868666522509,6.030721473201488
data\LabeledDB_new\Hand\196.ply,Hand,7112,14220,2.29184706507647,3.051191826297819,7.4569437974946915
data\LabeledDB_new\Hand\197.ply,Hand,7553,15102,2.4540542311152476,3.050385446557487,6.21406997051589
data\LabeledDB_new\Hand\198.ply,Hand,9564,19124,2.429211723581982,2.90824702012276,5.4911598070189935
data\LabeledDB_new\Hand\199.ply,Hand,8647,17290,3.7693103048589007,3.8780503588717856,6.885911837705883
data\LabeledDB_new\Hand\200.ply,Hand,1515,3026,2.5787712216669303,3.4978952148917246,8.44185741532317
data\LabeledDB_new\Human\1.ply,Human,4706,9408,1.7687659218840017,2.503454606402183,4.0966174024425115
data\LabeledDB_new\Human\10.ply,Human,9508,19012,1.94806793395771,3.244447042810413,6.033824677243679
data\LabeledDB_new\Human\11.ply,Human,10999,21994,2.253485689189665,4.564172464558526,9.00953769399786
data\LabeledDB_new\Human\12.ply,Human,5614,11224,2.1888926496689773,4.475139504783832,8.961958889735257
data\LabeledDB_new\Human\13.ply,Human,13703,27402,2.770697179463442,3.5535776155322427,7.3120134288010945
data\LabeledDB_new\Human\14.ply,Human,5691,11378,1.12370579396271,2.737106371445436,7.066403139181308
data\LabeledDB_new\Human\15.ply,Human,5631,11258,1.8510007757091227,2.1021960438221994,4.867851456627001
data\LabeledDB_new\Human\16.ply,Human,15223,30450,2.3634646961465604,2.988065022779079,7.311133892835386
